Global Stock Index Fund

Date,NAV
"""26/08/2015""","""17.4665"""
"""25/08/2015""","""17.1037"""
"""24/08/2015""","""16.9181"""
"""21/08/2015""","""17.9800"""
"""20/08/2015""","""18.6730"""
"""19/08/2015""","""19.2337"""
"""18/08/2015""","""19.4732"""
"""17/08/2015""","""19.4538"""
"""14/08/2015""","""19.3309"""
"""13/08/2015""","""19.2749"""
"""12/08/2015""","""19.1698"""
"""11/08/2015""","""19.4942"""
"""10/08/2015""","""19.8020"""
"""07/08/2015""","""19.6595"""
"""06/08/2015""","""19.7642"""
"""05/08/2015""","""19.9608"""
"""04/08/2015""","""19.7429"""
"""03/08/2015""","""19.7471"""
"""31/07/2015""","""19.6599"""
"""30/07/2015""","""19.8174"""
"""29/07/2015""","""19.6336"""
"""28/07/2015""","""19.4703"""
"""27/07/2015""","""19.2093"""
"""24/07/2015""","""19.5815"""
"""23/07/2015""","""19.7525"""
"""22/07/2015""","""19.9523"""
"""21/07/2015""","""20.0014"""
"""20/07/2015""","""20.1790"""
"""17/07/2015""","""20.1822"""
"""16/07/2015""","""20.1023"""
"""15/07/2015""","""19.8499"""
"""14/07/2015""","""19.7850"""
"""13/07/2015""","""19.6464"""
"""10/07/2015""","""19.1913"""
"""09/07/2015""","""19.1248"""
"""08/07/2015""","""18.9732"""
"""07/07/2015""","""19.3984"""
"""06/07/2015""","""19.2054"""
"""03/07/2015""","""19.3264"""
"""02/07/2015""","""19.3498"""
"""01/07/2015""","""19.3527"""
"""30/06/2015""","""19.1535"""
"""29/06/2015""","""19.1606"""
"""26/06/2015""","""19.6039"""
"""25/06/2015""","""19.5668"""
"""24/06/2015""","""19.6257"""
"""23/06/2015""","""19.7404"""
"""22/06/2015""","""19.3724"""
"""19/06/2015""","""19.2567"""
"""18/06/2015""","""19.1939"""
"""17/06/2015""","""19.2789"""
"""16/06/2015""","""19.2944"""
"""15/06/2015""","""19.1897"""
"""12/06/2015""","""19.3062"""
"""11/06/2015""","""19.4658"""
"""10/06/2015""","""19.3148"""
"""09/06/2015""","""19.1391"""
"""08/06/2015""","""19.2131"""
"""05/06/2015""","""19.4662"""
"""04/06/2015""","""19.3320"""
"""03/06/2015""","""19.5165"""
"""02/06/2015""","""19.6719"""
"""01/06/2015""","""20.0413"""
"""29/05/2015""","""19.9314"""
"""28/05/2015""","""20.1490"""
"""27/05/2015""","""20.2507"""
"""26/05/2015""","""20.0680"""
"""25/05/2015""","""20.0909"""
"""22/05/2015""","""20.0875"""
"""21/05/2015""","""19.9897"""
"""20/05/2015""","""19.9445"""
"""19/05/2015""","""19.8954"""
"""18/05/2015""","""19.5336"""
"""15/05/2015""","""19.3815"""
"""14/05/2015""","""19.4427"""
"""13/05/2015""","""19.3378"""
"""12/05/2015""","""19.4616"""
"""11/05/2015""","""19.6711"""
