Euro Investment Grade Bond Index Fund

Date,NAV
"""07/09/2015""","""192.2220"""
"""04/09/2015""","""192.2004"""
"""03/09/2015""","""191.8718"""
"""02/09/2015""","""191.5082"""
"""01/09/2015""","""191.4569"""
"""31/08/2015""","""191.6698"""
"""28/08/2015""","""191.9460"""
"""27/08/2015""","""191.9119"""
"""26/08/2015""","""192.0010"""
"""25/08/2015""","""191.6880"""
"""24/08/2015""","""192.6400"""
"""21/08/2015""","""192.8775"""
"""20/08/2015""","""192.9691"""
"""19/08/2015""","""192.7455"""
"""18/08/2015""","""192.7280"""
"""17/08/2015""","""192.8648"""
"""14/08/2015""","""192.7092"""
"""13/08/2015""","""192.8887"""
"""12/08/2015""","""193.0935"""
"""11/08/2015""","""193.0266"""
"""10/08/2015""","""192.5753"""
"""07/08/2015""","""192.7595"""
"""06/08/2015""","""192.4129"""
"""05/08/2015""","""192.2600"""
"""04/08/2015""","""192.8187"""
"""03/08/2015""","""192.8251"""
"""31/07/2015""","""192.6998"""
"""30/07/2015""","""192.6013"""
"""29/07/2015""","""192.2986"""
"""28/07/2015""","""192.3872"""
"""27/07/2015""","""192.3945"""
"""24/07/2015""","""192.4246"""
"""23/07/2015""","""192.1060"""
"""22/07/2015""","""192.1196"""
"""21/07/2015""","""191.9219"""
"""20/07/2015""","""191.9676"""
"""17/07/2015""","""191.7087"""
"""16/07/2015""","""191.2671"""
"""15/07/2015""","""191.2131"""
"""14/07/2015""","""190.7711"""
"""13/07/2015""","""190.5485"""
"""10/07/2015""","""190.1320"""
"""09/07/2015""","""190.8853"""
"""08/07/2015""","""191.0493"""
"""07/07/2015""","""191.3679"""
"""06/07/2015""","""190.6912"""
"""03/07/2015""","""190.7331"""
"""02/07/2015""","""190.3799"""
"""01/07/2015""","""190.5588"""
"""30/06/2015""","""190.6305"""
"""29/06/2015""","""190.5032"""
"""26/06/2015""","""190.3134"""
"""25/06/2015""","""190.6344"""
"""24/06/2015""","""190.7402"""
"""23/06/2015""","""190.6327"""
"""22/06/2015""","""190.4141"""
"""19/06/2015""","""190.9041"""
"""18/06/2015""","""190.6170"""
"""17/06/2015""","""190.8274"""
"""16/06/2015""","""190.8949"""
"""15/06/2015""","""191.0267"""
"""12/06/2015""","""191.1746"""
"""11/06/2015""","""190.9882"""
"""10/06/2015""","""190.3906"""
"""09/06/2015""","""190.6551"""
"""08/06/2015""","""191.3265"""
"""05/06/2015""","""191.6885"""
"""04/06/2015""","""191.7590"""
"""03/06/2015""","""191.7419"""
"""02/06/2015""","""192.8949"""
"""01/06/2015""","""193.9285"""
"""29/05/2015""","""193.9660"""
"""28/05/2015""","""193.7672"""
"""27/05/2015""","""193.7734"""
"""26/05/2015""","""193.8249"""
"""25/05/2015""","""193.5759"""
"""22/05/2015""","""193.5375"""
"""21/05/2015""","""193.3849"""
"""20/05/2015""","""193.5268"""
"""19/05/2015""","""193.6209"""
"""18/05/2015""","""193.4037"""
"""15/05/2015""","""193.4345"""
"""14/05/2015""","""193.0035"""
"""13/05/2015""","""193.1280"""
"""12/05/2015""","""193.2920"""
"""11/05/2015""","""193.9034"""
"""08/05/2015""","""194.1544"""
"""07/05/2015""","""193.6851"""
"""06/05/2015""","""193.7711"""
"""05/05/2015""","""194.2847"""
"""04/05/2015""","""195.2511"""
"""01/05/2015""","""195.2185"""
"""30/04/2015""","""195.2152"""
"""29/04/2015""","""195.7753"""
"""28/04/2015""","""196.5991"""
"""27/04/2015""","""196.5347"""
"""24/04/2015""","""196.5137"""
"""23/04/2015""","""196.4745"""
"""22/04/2015""","""196.4461"""
"""21/04/2015""","""196.8128"""
"""20/04/2015""","""196.9900"""
"""17/04/2015""","""196.9715"""
"""16/04/2015""","""196.9987"""
"""15/04/2015""","""197.0153"""
"""14/04/2015""","""196.8901"""
"""13/04/2015""","""196.7287"""
"""10/04/2015""","""196.6480"""
"""09/04/2015""","""196.5856"""
"""08/04/2015""","""196.5297"""
"""07/04/2015""","""196.2653"""
"""06/04/2015""","""196.1937"""
"""02/04/2015""","""196.1446"""
"""01/04/2015""","""196.2422"""
"""31/03/2015""","""196.2222"""
"""30/03/2015""","""196.0301"""
"""27/03/2015""","""196.0082"""
"""26/03/2015""","""195.9044"""
"""25/03/2015""","""195.8631"""
"""24/03/2015""","""195.7523"""
"""23/03/2015""","""195.8907"""
"""20/03/2015""","""196.1316"""
"""19/03/2015""","""196.1038"""
"""18/03/2015""","""196.1685"""
"""17/03/2015""","""195.7057"""
"""16/03/2015""","""195.9166"""
"""13/03/2015""","""196.0248"""
"""12/03/2015""","""196.0706"""
"""11/03/2015""","""196.3976"""
"""10/03/2015""","""196.1324"""
"""09/03/2015""","""195.7416"""
"""06/03/2015""","""195.2126"""
"""05/03/2015""","""195.4519"""
"""04/03/2015""","""195.4007"""
"""03/03/2015""","""195.5112"""
"""02/03/2015""","""195.4910"""
"""27/02/2015""","""195.5897"""
"""26/02/2015""","""195.7033"""
"""25/02/2015""","""195.5484"""
"""24/02/2015""","""195.2749"""
"""23/02/2015""","""195.1952"""
"""20/02/2015""","""195.0701"""
"""19/02/2015""","""195.0048"""
"""18/02/2015""","""194.9566"""
"""17/02/2015""","""194.9409"""
"""16/02/2015""","""195.0861"""
"""13/02/2015""","""195.0389"""
"""12/02/2015""","""195.0622"""
"""11/02/2015""","""194.8241"""
"""10/02/2015""","""194.7219"""
"""09/02/2015""","""194.8052"""
"""06/02/2015""","""194.6474"""
"""05/02/2015""","""194.5903"""
"""04/02/2015""","""194.5278"""
"""03/02/2015""","""194.5758"""
"""02/02/2015""","""194.6186"""
"""30/01/2015""","""194.5578"""
"""29/01/2015""","""194.3176"""
"""28/01/2015""","""194.4481"""
"""27/01/2015""","""194.2940"""
"""26/01/2015""","""194.1404"""
"""23/01/2015""","""194.3846"""
"""22/01/2015""","""193.7586"""
"""21/01/2015""","""193.3910"""
"""20/01/2015""","""193.7898"""
"""19/01/2015""","""193.8700"""
"""16/01/2015""","""193.6922"""
"""15/01/2015""","""193.6892"""
"""14/01/2015""","""193.5637"""
"""13/01/2015""","""193.3635"""
"""12/01/2015""","""193.3767"""
"""09/01/2015""","""193.3371"""
"""08/01/2015""","""193.1401"""
"""07/01/2015""","""193.3121"""
"""06/01/2015""","""193.3581"""
"""05/01/2015""","""193.0831"""
"""02/01/2015""","""193.1088"""
"""31/12/2014""","""192.8543"""
"""30/12/2014""","""192.8398"""
"""29/12/2014""","""192.7922"""
"""26/12/2014""","""192.4727"""
"""24/12/2014""","""192.4463"""
"""23/12/2014""","""192.4322"""
"""22/12/2014""","""192.4213"""
"""19/12/2014""","""192.3722"""
"""18/12/2014""","""192.2351"""
"""17/12/2014""","""192.2517"""
"""16/12/2014""","""192.1674"""
"""15/12/2014""","""192.1785"""
"""12/12/2014""","""192.2417"""
"""11/12/2014""","""192.0569"""
"""10/12/2014""","""192.0419"""
"""09/12/2014""","""192.0540"""
"""08/12/2014""","""191.9820"""
"""05/12/2014""","""191.6471"""
"""04/12/2014""","""191.6937"""
"""03/12/2014""","""191.8353"""
"""02/12/2014""","""191.7821"""
"""01/12/2014""","""191.9087"""
"""28/11/2014""","""192.0814"""
"""27/11/2014""","""192.1133"""
"""26/11/2014""","""192.0211"""
"""25/11/2014""","""191.9079"""
"""24/11/2014""","""191.7703"""
"""21/11/2014""","""191.7531"""
"""20/11/2014""","""191.5482"""
